arrivalTime,serviceTime,waitTime,startTime,endTime
3,8,0,3,11
9,8,0,9,17
13,5,0,13,18
18,9,0,18,27
20,5,0,20,25
24,6,1,24,31
26,8,1,26,35
32,5,0,32,37
35,7,0,35,42
37,7,0,37,44
43,7,0,43,50
47,8,0,47,55
51,8,0,51,59
55,7,0,55,62
60,7,0,60,67
63,9,0,63,72
66,7,1,66,74
71,7,1,71,79
74,5,0,74,79
78,9,1,78,88
82,5,0,82,87
87,7,0,87,94
93,6,0,93,99
97,9,0,97,106
101,5,0,101,106
105,5,1,105,111
109,5,0,109,114
112,6,0,112,118
115,6,0,115,121
120,7,0,120,127
122,8,0,122,130
126,7,1,126,134
129,6,1,129,136
132,7,2,132,141
134,5,2,134,141
138,6,3,138,147
141,5,0,141,146
145,6,1,145,152
148,6,0,148,154
151,8,1,151,160
155,8,0,155,163
159,7,1,159,167
162,6,1,162,169
166,9,1,166,176
169,5,0,169,174
174,7,0,174,181
178,5,0,178,183
184,9,0,184,193
188,5,0,188,193
193,8,0,193,201
197,6,0,197,203
199,8,2,199,209
203,6,0,203,209
205,8,4,205,217
209,6,0,209,215
212,5,3,212,220
215,9,2,215,226
218,9,2,218,229
222,5,4,222,231
226,7,3,226,236
228,5,3,228,236
231,6,5,231,242
235,7,1,235,243
237,7,5,237,249
241,6,2,241,249
245,7,4,245,256
249,7,0,249,256
254,9,2,254,265
257,6,0,257,263
261,8,2,261,271
264,6,1,264,271
267,6,4,267,277
272,7,0,272,279
275,6,2,275,283
279,7,0,279,286
283,8,0,283,291
287,5,0,287,292
293,9,0,293,302
297,7,0,297,304
300,7,2,300,309
304,9,0,304,313
309,7,0,309,316
312,9,1,312,322
315,5,1,315,321
319,8,2,319,329
322,6,0,322,328
325,8,3,325,336
327,6,2,327,335
330,8,5,330,343
334,5,2,334,341
337,8,4,337,349
341,5,2,341,348
345,8,3,345,356
348,5,1,348,354
351,9,3,351,363
353,7,3,353,363
355,7,8,355,370
359,6,4,359,369
362,6,7,362,375
368,9,2,368,379
372,5,3,372,380
374,9,5,374,388
376,6,4,376,386
380,5,6,380,391
385,8,3,385,396
389,8,2,389,399
392,8,4,392,404
394,7,5,394,406
397,9,7,397,413
400,9,6,400,415
403,5,10,403,418
408,7,7,408,422
412,5,6,412,423
416,9,6,416,431
420,6,3,420,429
424,6,5,424,435
428,6,3,428,437
432,7,3,432,442
438,7,0,438,445
441,9,1,441,451
446,5,0,446,451
449,6,2,449,457
452,5,0,452,457
456,8,1,456,465
459,6,0,459,465
462,7,3,462,472
466,8,0,466,474
470,6,2,470,478
475,8,0,475,483
481,8,0,481,489
485,8,0,485,493
489,5,0,489,494
492,5,1,492,498
495,9,0,495,504
501,7,0,501,508
504,8,0,504,512
506,9,2,506,517
509,5,3,509,517
513,9,4,513,526
517,9,0,517,526
520,9,6,520,535
522,5,4,522,531
526,6,5,526,537
528,8,7,528,543
531,6,6,531,543
532,8,11,532,551
535,6,8,535,549
537,7,12,537,556
540,6,11,540,557
544,8,12,544,564
548,7,9,548,564
551,7,13,551,571
555,8,9,555,572
557,6,14,557,577
561,8,11,561,580
566,7,11,566,584
570,5,10,570,585
573,6,11,573,590
577,6,8,577,591
581,6,9,581,596
583,6,8,583,597
587,7,9,587,603
590,7,7,590,604
593,9,10,593,612
597,9,7,597,613
603,7,9,603,619
606,7,7,606,620
609,6,10,609,625
612,7,8,612,627
614,9,11,614,634
620,8,7,620,635
623,5,11,623,639
627,6,8,627,641
631,5,8,631,644
635,8,6,635,649
639,6,5,639,650
643,5,6,643,654
646,8,4,646,658
648,6,6,648,660
654,9,4,654,667
657,8,3,657,668
661,7,6,661,674
665,7,3,665,675
669,7,5,669,681
673,7,2,673,682
679,5,2,679,686
683,9,0,683,692
688,9,0,688,697
693,5,0,693,698
697,9,0,697,706
701,9,0,701,710
705,7,1,705,713
710,7,0,710,717
714,5,0,714,719
716,7,1,716,724
719,6,0,719,725
722,6,2,722,730
724,9,1,724,734
729,9,1,729,739
732,9,2,732,743
737,8,2,737,747
741,6,2,741,749
745,7,2,745,754
747,9,2,747,758
751,6,3,751,760
754,5,4,754,763
757,7,3,757,767
761,7,2,761,770
764,7,3,764,774
767,7,3,767,777
773,5,1,773,779
777,8,0,777,785
780,9,0,780,789
784,6,1,784,791
787,9,2,787,798
790,7,1,790,798
794,5,4,794,803
797,9,1,797,807
800,5,3,800,808
802,7,5,802,814
805,8,3,805,816
811,7,3,811,821
813,6,3,813,822
816,9,5,816,830
818,6,4,818,828
821,5,7,821,833
824,9,6,824,839
828,5,5,828,838
832,6,6,832,844
835,9,4,835,848
837,7,7,837,851
841,5,7,841,853
844,5,7,844,856
848,5,5,848,858
852,6,4,852,862
855,7,3,855,865
858,9,4,858,871
863,9,2,863,874
868,9,3,868,880
872,9,2,872,883
874,9,6,874,889
877,7,6,877,890
882,5,7,882,894
886,9,4,886,899
890,9,4,890,903
892,5,7,892,904
894,5,9,894,908
897,8,7,897,912
903,8,5,903,916
905,6,7,905,918
