iterationId,averageWaitTime,utilizationRate,totalProcessed,totalTime,totalWaitTime,totalQueueTime,averageQueueLength
0,4.24,97.28506787330316,250,884,1060,2780,3.1447963800904977
1,5.992,97.24409448818898,250,889,1498,3227,3.62992125984252
2,6.14,95.86129753914989,250,894,1535,3249,3.634228187919463
3,4.996,98.38337182448036,250,866,1249,2953,3.4099307159353347
4,8.564,97.75533108866442,250,891,2141,3883,4.3580246913580245
5,3.184,94.91803278688525,250,915,796,2533,2.7683060109289617
6,8.4,97.48633879781421,250,915,2100,3884,4.244808743169399
7,5.252,98.15436241610739,250,894,1313,3068,3.431767337807606
8,6.184,97.94050343249427,250,874,1546,3258,3.727688787185355
9,9.332,98.01324503311258,250,906,2333,4109,4.535320088300221
